f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,min_a,max_a
353,264,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
264,546,0.0008147099854905126,0.000509193760026336,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
546,311,0.029691542320159768,0.018639247800681005,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
519,212,1.2106146875807077e-06,1.2106146875807077e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
212,1019,3.2283058335485537e-06,3.2283058335485537e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
1019,893,0.004360254779454596,0.0027251593393525964,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
893,311,0.008412524382579356,0.005257827936280641,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
123,572,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
585,762,1.1299070417419939e-06,1.1299070417419939e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
311,762,0.004909178829201963,0.007069217796819528,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
215,1113,0.04242712918749096,0.02663417635466552,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
74,541,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
541,1057,1.2913223334194217e-06,1.2913223334194217e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
604,1057,0.035940391786750465,0.007849695920781637,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
1044,604,0.0032793139104402287,0.0012297427164150857,0.0,5.28,5.28,5.28,0.0,0.0,1,0.0,0.0
391,1044,0.021231501483080343,0.019582452557830924,0.0,8.14,8.14,8.14,0.0,0.0,1,0.0,0.0
572,391,4.19679758361312e-06,4.19679758361312e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
572,751,4.358212875290548e-06,4.358212875290548e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
258,751,0.027843814757824905,0.017402384876229988,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
1113,162,0.03529099288427075,0.02215437495327973,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
186,309,1.04919939590328e-06,1.04919939590328e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
309,233,4.761751104484117e-06,4.761751104484117e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
233,168,0.0054852170037693925,0.0034282607559156463,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
168,162,0.08752581206863441,0.023746134339771414,0.0,1.87,1.87,1.87,0.0,0.0,1,0.0,0.0
162,625,0.03602332629262313,0.0226141066749872,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
625,302,0.04589930995367037,0.028813882515151303,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
533,209,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
209,752,5.165289333677687e-06,5.165289333677687e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
