f_bus,t_bus,repair_time,failure_frequency_permanent,failure_frequency_temporary,length
1021,502,0.0,0.0,0.0,6.25e-05
502,619,244.0,0.0002496790637310706,4.331971137289869e-06,0.0123224888078
619,344,104.0,0.020236483863644673,0.046238413186738624,0.27931401110320003
729,1092,0.0,0.0,0.0,5.859375e-05
1092,466,0.0,0.0,0.0,0.00015625
466,1006,244.0,0.0013362599579624607,2.318432103720358e-05,0.0659488550231
1006,344,244.0,0.0025781336289779355,4.473102510844999e-05,0.1272394341494
941,250,0.0,0.0,0.0,0.0001015625
981,338,0.0,0.0,0.0,5.46875e-05
344,338,244.0,0.0038514822085358837,6.682382380740492e-05,0.1900834042667
453,162,104.0,0.028916514538905536,0.06607144581931537,0.3991201098673
296,1028,0.0,0.0,0.0,6.25e-05
1028,730,0.0,0.0,0.0,6.25e-05
975,730,244.0,0.005498621835237769,9.54019561318856e-05,0.2713752006697
631,975,244.0,0.001004990783740096,1.7436748613787155e-05,0.0495996240114
759,631,244.0,0.010107471931487843,0.00017536623224978908,0.4988372188269
250,759,0.0,0.0,0.0,0.000203125
250,300,0.0,0.0,0.0,0.0002109375
1007,300,244.0,0.00853311942070955,0.00014805096786720041,0.42113770768770004
162,821,104.0,0.02405282960156787,0.05495839499200468,0.3319891123213
850,957,0.0,0.0,0.0,5.078125e-05
957,925,0.0,0.0,0.0,0.00023046875
925,88,244.0,0.001681020081076248,2.9165963551796107e-05,0.0829639090487
88,821,0.0,0.0,0.0,0.36836951232989995
821,525,104.0,0.02455195669443258,0.05609885224278408,0.3388783126042
525,706,104.0,0.031283004271530135,0.07147864653642472,0.4317835776865
739,333,0.0,0.0,0.0,0.0001328125
333,315,0.0,0.0,0.0,0.00025
706,315,244.0,0.005954325524250476,0.00010330848701380954,0.2938656871511
706,487,104.0,0.03447752984619093,0.07877782926263603,0.4758760078657
129,1074,244.0,0.0022907381577182678,3.974466835157879e-05,0.1130555157019
182,1074,244.0,0.0001159517670766507,2.0117814477021413e-06,0.0057226037726
259,182,0.0,0.0,0.0,6.25e-05
109,645,0.0,0.0,0.0,0.0001328125
645,474,0.0,0.0,0.0,0.0001171875
589,61,0.0,0.0,0.0,7.8125e-05
61,1065,0.0,0.0,0.0,0.000171875
1065,875,244.0,0.0029369200640898367,5.0956026348561846e-05,0.1449467331315
875,692,244.0,0.009466760580722416,0.00016424978925543628,0.46721599143660003
782,951,0.0,0.0,0.0,0.0001171875
951,617,0.0,0.0,0.0,0.0002265625
474,617,244.0,0.003396941171528131,5.893746512115053e-05,0.1676502985128
959,474,244.0,0.0018438581770217899,3.199123020069352e-05,0.09100050845270001
153,959,0.0,0.0,0.0,0.0001953125
505,1099,0.0,0.0,0.0,5.46875e-05
266,1099,244.0,9.664816959459892e-05,1.6768609866570792e-06,0.0047699072975
329,266,104.0,0.022626574810358954,0.05169954040096773,0.3123032346129
789,353,0.0,0.0,0.0,0.00015625
353,692,0.0,0.0,0.0,0.000171875
692,696,244.0,0.0008831163672087057,1.5322208263873446e-05,0.043584717870600004
696,1121,244.0,0.006596945671293281,0.00011445804792464686,0.3255811199602
1121,650,244.0,0.00509827196435862,8.845582272546502e-05,0.2516166084618
726,650,0.0,0.0,0.0,0.00021875
595,726,0.0,0.0,0.0,8.984375e-05
111,886,0.0,0.0,0.0,6.25e-05
