name,description,f_bus,t_bus,switchgear_type,remote,closed,switching_time
S1,NS4207.3.L,580,303,disconnector,False,False,4.0
S2,NS5923.2.L,283,1029,disconnector,False,True,4.0
S3,NS 040.1.L,248,559,disconnector,False,True,4.0
S4,NS6190.2.L,282,1056,disconnector,False,True,4.0
S5,SB 413,344,453,disconnector,False,True,4.0
S6,NS6227.2.L,571,825,disconnector,False,True,4.0
S7,NS 184.1.S,59,830,disconnector,False,True,4.0
S8,SB 040,162,1007,disconnector,False,True,4.0
S9,HM28944.L,1060,639,disconnector,False,True,4.0
S10,NS 171.1.S,200,546,disconnector,False,True,4.0
S11,SB 408,129,487,disconnector,False,True,4.0
S12,NS 202.1.L,249,483,disconnector,False,True,4.0
S13,NS 149.1.L,463,616,disconnector,False,True,4.0
S14,NS5922.2.L,1047,562,disconnector,False,True,4.0
S15,NS 202.3.L,1045,156,disconnector,False,True,4.0
S16,NS 202.2.L,409,1016,disconnector,False,True,4.0
S17,NS 043.1.L,781,939,disconnector,False,True,4.0
S18,BK 302.3.L,958,969,disconnector,False,True,4.0
S19,NS5252.2.L,873,459,disconnector,False,True,4.0
S20,NS5938.2.L,181,717,disconnector,False,True,4.0
S21,NS 047.1.S,644,533,disconnector,False,True,4.0
S22,NS5493.4.L,352,1126,disconnector,False,True,4.0
S23,NS5493.1.E,964,237,breaker,True,True,0.16666666666666666
S24,NS 088.2.L,1115,305,disconnector,False,True,4.0
S25,BK 302.2.L,1080,1000,disconnector,False,True,4.0
S26,BK 302.1.L,350,284,disconnector,False,True,4.0
S27,NS5252.1.L,490,791,disconnector,False,True,4.0
S28,NS5252.3.L,1019,517,disconnector,False,True,4.0
S29,SB 407,329,260,disconnector,False,True,4.0
S30,SB 44,521,642,disconnector,False,True,4.0
S31,NS5493.2.L,345,1020,disconnector,False,True,4.0
S32,NS 182.1.S,485,1079,disconnector,False,True,4.0
S33,NS 088.1.L,889,625,disconnector,False,True,4.0
S34,NS 046.1.S,652,469,disconnector,False,True,4.0
S35,NS6441.3.S,865,862,disconnector,False,True,4.0
S36,NS6441.3.E,876,448,breaker,True,True,0.16666666666666666
S37,NS6441.1.L,727,280,disconnector,False,True,4.0
S38,NS 104.1.S,277,85,disconnector,False,True,4.0
S39,SB 104,861,454,disconnector,False,True,4.0
S40,SB 406,910,178,disconnector,False,True,4.0
S41,SB 165,523,361,disconnector,False,True,4.0
S42,SB 45,651,674,disconnector,False,True,4.0
S43,NS 148.1.L,902,357,disconnector,False,True,4.0
S44,NS 088.3.L,549,721,disconnector,False,True,4.0
S45,NS 088.4.L,89,319,disconnector,False,True,4.0
S46,SB 46,1049,699,disconnector,False,True,4.0
S47,NS 230.2.L,396,705,disconnector,False,True,4.0
S48,NS 185.1.S,356,593,disconnector,False,True,4.0
S49,NS 131.1.S,671,720,disconnector,False,True,4.0
S50,HM29314.1.S,753,1051,disconnector,False,True,4.0
S51,SB 118,390,668,disconnector,False,True,4.0
S52,NS 214.1.L,387,534,disconnector,False,True,4.0
S53,HM29314.2.S,753,1011,disconnector,False,True,4.0
S54,NS 136.1.L,954,1078,disconnector,False,True,4.0
S55,SB 136,479,351,disconnector,False,True,4.0
S56,HM28843.S,1075,1048,disconnector,False,True,4.0
S57,NS6163.2.L,128,145,disconnector,False,True,4.0
S58,SB 51,93,547,disconnector,False,True,4.0
S59,HM29306.S,623,138,disconnector,False,True,4.0
S60,SB 189,656,293,disconnector,False,True,4.0
S61,SB 82,551,877,disconnector,False,True,4.0
S62,SB 137,700,716,disconnector,False,True,4.0
S63,SB 405,403,136,disconnector,False,True,4.0
S64,NS 166.1.L,863,1067,disconnector,False,True,4.0
S65,SB 54,241,725,disconnector,False,True,4.0
S66,NS5940.2.L,197,103,disconnector,False,True,4.0
S67,NS6013.2.L,874,309,disconnector,False,True,4.0
S68,NS 056.1.L,786,394,disconnector,False,True,4.0
S69,NS 151.1.L,125,71,disconnector,False,True,4.0
S70,NS5941.2.L,447,1012,disconnector,False,True,4.0
S71,HM28749.S,511,806,disconnector,False,True,4.0
S72,NS 169.1.L,724,1107,disconnector,False,True,4.0
S73,NS 179.1.S,1076,967,disconnector,False,True,4.0
S74,SB 180,403,1120,disconnector,False,True,4.0
S75,SB 089,907,458,disconnector,False,True,4.0
S76,NS 233.1.L,124,891,disconnector,False,True,4.0
S77,SB 60,508,686,disconnector,False,True,4.0
S78,SB 170,424,572,disconnector,False,True,4.0
S79,NS 061.1.L,931,189,disconnector,False,True,4.0
S80,SB 061,424,962,disconnector,False,True,4.0
S81,SB 53,777,879,disconnector,False,True,4.0
S82,SB 404,641,994,disconnector,False,True,4.0
S83,NS 102.2.L,174,911,disconnector,False,True,4.0
S84,NS 228.2.L,1033,431,disconnector,False,True,4.0
S85,NS 102.3.L,708,1084,disconnector,False,True,4.0
S86,NS 102.1.L,764,225,disconnector,False,True,4.0
S87,NS 200.1.L,598,341,disconnector,False,True,4.0
