f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,min_a,max_a
1,2,0.01661671585413223,0.023928071787073246,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
2,3,4.19679758361312e-6,4.19679758361312e-6,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
3,4,3.2283058335485544e-7,3.2283058335485544e-7,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
3,5,1.936983500129133e-6,1.936983500129133e-6,0.0,Inf,Inf,Inf,0.0,0.0,1,0.0,0.0
2,6,0.02934115944374871,0.03160272473811702,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
6,7,1.9369835001291324e-6,1.9369835001291324e-6,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
6,8,1.2913223334194217e-6,1.2913223334194217e-6,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
8,9,0.009058164454221567,0.005280306812373123,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
9,10,3.228305833548554e-6,3.228305833548554e-6,0.0,Inf,Inf,Inf,0.0,0.0,1,0.0,0.0
9,11,2.582644666838843e-6,2.582644666838843e-6,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
8,12,0.004960925083296746,0.004365769008174905,0.0,8.8,8.8,8.8,0.0,0.0,1,0.0,0.0
12,13,0.03692310088186919,0.02317895175285054,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
13,14,0.01889032504355458,0.007093405481997664,0.0,Inf,Inf,Inf,0.0,0.0,1,0.0,0.0
13,15,0.07191588312093142,0.045146121135840024,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
15,16,0.06355422656342026,0.03989698362324209,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
16,17,0.05145026054121108,0.03229856318329755,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
17,18,0.04864072321303225,0.03053483996877015,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
18,19,0.08815299530511958,0.035874157385282275,0.0,2.53,2.53,2.53,0.0,0.0,1,0.0,0.0
19,20,8.716425750581094e-6,8.716425750581094e-6,0.0,Inf,Inf,Inf,0.0,0.0,1,0.0,0.0
19,21,0.039032501465472665,0.014643190680711501,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
